r,theta,cos_theta,V,Er,Etheta
0.5,0.01,0.9999500004166653,7.998800039999466,47.9928002399968,-0.4799680006472106
0.5918367346938775,0.01,0.9999500004166653,4.823131462472309,24.448287068394123,-0.24450324642000854
0.6836734693877551,0.01,0.9999500004166653,3.128878305861749,13.729704804826184,-0.13730849068391981
0.7755102040816326,0.01,0.9999500004166653,2.1437409468989133,8.292892610372112,-0.08293583758142878
0.8673469387755102,0.01,0.9999500004166653,1.5323441089450802,5.300107859174748,-0.053005495817320974
0.9591836734693877,0.01,0.9999500004166653,1.1329989813262684,3.5436351118076908,-0.03543930446092482
1.0510204081632653,0.01,0.9999500004166653,0.8611948143551842,2.45816772252839,-0.02458372591591745
1.1428571428571428,0.01,0.9999500004166653,0.6698213900683148,1.7582811489293264,-0.01758427687918019
1.2346938775510203,0.01,0.9999500004166653,0.531198658079455,1.2906810369864443,-0.012907886051611927
1.3265306122448979,0.01,0.9999500004166653,0.42833446786795515,0.9686948734859908,-0.009687756066310848
1.4183673469387754,0.01,0.9999500004166653,0.35040369684080186,0.7411416321668759,-0.007412034005281655
1.5102040816326532,0.01,0.9999500004166653,0.29028723184766236,0.5766516632649509,-0.005766997226732054
1.6020408163265307,0.01,0.9999500004166653,0.24317231145819715,0.4553672583994265,-0.004554052097006563
1.6938775510204083,0.01,0.9999500004166653,0.2057258266421537,0.36435778935417573,-0.0036438815572761196
1.7857142857142858,0.01,0.9999500004166653,0.17558965847806826,0.29499062624315464,-0.0029501521140581186
1.8775510204081634,0.01,0.9999500004166653,0.15106352382242585,0.24137323915104997,-0.0024139335572363804
1.969387755102041,0.01,0.9999500004166653,0.1309004541076663,0.19940276428836212,-0.001994193829499676
2.0612244897959187,0.01,0.9999500004166653,0.11417183254042955,0.16617088498458557,-0.0016618473402883575
2.1530612244897958,0.01,0.9999500004166653,0.1001764677541167,0.139582376870665,-0.0013959400997061513
2.2448979591836737,0.01,0.9999500004166653,0.08837817673796927,0.11810538164074075,-0.001181152248010313
2.336734693877551,0.01,0.9999500004166653,0.07836220233908928,0.10060474885455131,-0.0010061313347390743
2.428571428571429,0.01,0.9999500004166653,0.06980430525442236,0.08622884766722759,-0.0008623603416760097
2.5204081632653064,0.01,0.9999500004166653,0.06244853008717814,0.0743314487677343,-0.0007433764371291535
2.612244897959184,0.01,0.9999500004166653,0.056091000193708954,0.06441700803496263,-0.0006442237668901308
2.7040816326530615,0.01,0.9999500004166653,0.050567962863620135,0.056101815403412525,-0.0005610649105115979
2.795918367346939,0.01,0.9999500004166653,0.04574687070901472,0.04908605835200849,-0.0004909014929125003
2.8877551020408165,0.01,0.9999500004166653,0.04151965858061956,0.043133496900007604,-0.00043137091739785276
2.979591836734694,0.01,0.9999500004166653,0.03779762620857094,0.038056514059314574,-0.0003805968577226095
3.0714285714285716,0.01,0.9999500004166653,0.03450750768762268,0.033705007508840756,-0.00033707816557733324
3.163265306122449,0.01,0.9999500004166653,0.031588426904296495,0.02995805648342958,-0.0002996055325324535
3.2551020408163267,0.01,0.9999500004166653,0.028989520435596144,0.02671761444534566,-0.00026719841149649173
3.3469387755102042,0.01,0.9999500004166653,0.026668067705742156,0.02390369483380547,-0.00023905687019906707
3.438775510204082,0.01,0.9999500004166653,0.024588009801800696,0.02145066730483503,-0.0002145245505026786
3.5306122448979593,0.01,0.9999500004166653,0.022718768375760423,0.019304387001368682,-0.00019305995871116412
3.622448979591837,0.01,0.9999500004166653,0.021034297932299304,0.0174199537805521,-0.00017421405597522116
3.7142857142857144,0.01,0.9999500004166653,0.01951232087590903,0.015759951476695754,-0.00015761264945450535
3.806122448979592,0.01,0.9999500004166653,0.01813370660491809,0.014293055608166001,-0.00014294246822617356
3.8979591836734695,0.01,0.9999500004166653,0.01688196484094455,0.012992925819993971,-0.0001299400867879103
3.989795918367347,0.01,0.9999500004166653,0.01574283008285814,0.011837319806548063,-0.00011838306354617659
4.081632653061225,0.01,0.9999500004166653,0.014703919154779643,0.010807380578763038,-0.00010808281289449377
4.173469387755102,0.01,0.9999500004166653,0.013754447696098742,0.00988706020208565,-9.887884211263044e-05
4.26530612244898,0.01,0.9999500004166653,0.01288499442163133,0.009062651578850745,-9.06340688001407e-05
4.357142857142858,0.01,0.9999500004166653,0.01208730428414632,0.008322406228428614,-8.323099835928726e-05
4.448979591836735,0.01,0.9999500004166653,0.011354123463474287,0.007656220867572111,-7.65685895373019e-05
4.540816326530613,0.01,0.9999500004166653,0.010679060507975775,0.007055379301898602,-7.055967312609161e-05
4.63265306122449,0.01,0.9999500004166653,0.010056469056279856,0.006512338992392681,-6.51288174493857e-05
4.724489795918368,0.01,0.9999500004166653,0.009481348438356603,0.006020553867984538,-6.021055634084756e-05
4.816326530612245,0.01,0.9999500004166653,0.00894925914697927,0.005574326672059121,-5.574791248610865e-05
4.908163265306123,0.01,0.9999500004166653,0.008456250722917792,0.005168685473051623,-5.169116242580463e-05
5.0,0.01,0.9999500004166653,0.007998800039999466,0.004799280023999679,-4.7996800064721063e-05
0.5,0.07370597252224068,0.9972849442854904,7.934927121182165,47.60956272709299,-3.525087383420361
0.5918367346938775,0.07370597252224068,0.9972849442854904,4.784617249989547,24.253059853395296,-1.7957349406591123
